Ticker,Expiration(T),Type,Strike(K),Last Option Price (c),Stock Price (S),Moneyness (M = S/K)
AAPL,2024-06-28,Call,100,110.25,213,2.1325
AAPL,2024-06-28,Call,105,110.11,213,2.030952381
AAPL,2024-06-28,Call,110,100.06,213,1.938636364
AAPL,2024-06-28,Call,125,85.74,213,1.706
AAPL,2024-06-28,Call,130,80.36,213,1.640384615
AAPL,2024-06-28,Call,135,78.51,213,1.57962963
AAPL,2024-06-28,Call,140,70.43,213,1.523214286
AAPL,2024-06-28,Call,145,65.57,213,1.470689655
AAPL,2024-06-28,Call,150,63.51,213,1.421666667
AAPL,2024-06-28,Call,155,59.8,213,1.375806452
AAPL,2024-06-28,Call,160,54.22,213,1.3328125
AAPL,2024-06-28,Call,165,48.85,213,1.292424242
AAPL,2024-06-28,Call,170,43.05,213,1.254411765
AAPL,2024-06-28,Call,172.5,40.72,213,1.236231884
AAPL,2024-06-28,Call,175,37.39,213,1.218571429
AAPL,2024-06-28,Call,177.5,37.05,213,1.201408451
AAPL,2024-06-28,Call,180,32.98,213,1.184722222
AAPL,2024-06-28,Call,182.5,31.03,213,1.168493151
AAPL,2024-06-28,Call,185,28.4,213,1.152702703
AAPL,2024-06-28,Call,187.5,25.62,213,1.137333333
AAPL,2024-06-28,Call,190,23.38,213,1.122368421
AAPL,2024-06-28,Call,192.5,21.19,213,1.107792208
AAPL,2024-06-28,Call,195,18.25,213,1.093589744
AAPL,2024-06-28,Call,197.5,15.7,213,1.079746835
AAPL,2024-06-28,Call,200,13.45,213,1.06625
AAPL,2024-06-28,Call,202.5,11.15,213,1.05308642
AAPL,2024-06-28,Call,205,8.55,213,1.040243902
AAPL,2024-06-28,Call,207.5,6.16,213,1.027710843
AAPL,2024-06-28,Call,210,3.87,213,1.01547619
AAPL,2024-06-28,Call,212.5,2.03,213,1.003529412
AAPL,2024-06-28,Call,215,0.84,213,0.991860465
AAPL,2024-06-28,Call,217.5,0.32,213,0.98045977
AAPL,2024-06-28,Call,220,0.13,213,0.969318182
AAPL,2024-06-28,Call,222.5,0.06,213,0.958426966
AAPL,2024-06-28,Call,225,0.03,213,0.947777778
AAPL,2024-06-28,Call,227.5,0.02,213,0.937362637
AAPL,2024-06-28,Call,230,0.02,213,0.927173913
AAPL,2024-06-28,Call,232.5,0.02,213,0.917204301
AAPL,2024-06-28,Call,235,0.02,213,0.907446809
AAPL,2024-06-28,Call,240,0.01,213,0.888541667
AAPL,2024-06-28,Call,245,0.01,213,0.870408163
AAPL,2024-06-28,Call,250,0.01,213,0.853
AAPL,2024-06-28,Call,255,0.01,213,0.83627451
AAPL,2024-06-28,Call,260,0.01,213,0.820192308
AAPL,2024-06-28,Call,265,0.01,213,0.804716981
AAPL,2024-06-28,Put,100,0.01,213,2.1325
AAPL,2024-06-28,Put,110,0.01,213,1.938636364
AAPL,2024-06-28,Put,115,0.01,213,1.854347826
AAPL,2024-06-28,Put,125,0.01,213,1.706
AAPL,2024-06-28,Put,130,0.01,213,1.640384615
AAPL,2024-06-28,Put,135,0.01,213,1.57962963
AAPL,2024-06-28,Put,140,0.01,213,1.523214286
AAPL,2024-06-28,Put,145,0.03,213,1.470689655
AAPL,2024-06-28,Put,150,0.01,213,1.421666667
AAPL,2024-06-28,Put,155,0.01,213,1.375806452
AAPL,2024-06-28,Put,160,0.01,213,1.3328125
AAPL,2024-06-28,Put,165,0.01,213,1.292424242
AAPL,2024-06-28,Put,170,0.01,213,1.254411765
AAPL,2024-06-28,Put,172.5,0.01,213,1.236231884
AAPL,2024-06-28,Put,175,0.01,213,1.218571429
AAPL,2024-06-28,Put,177.5,0.01,213,1.201408451
AAPL,2024-06-28,Put,180,0.01,213,1.184722222
AAPL,2024-06-28,Put,182.5,0.01,213,1.168493151
AAPL,2024-06-28,Put,185,0.01,213,1.152702703
AAPL,2024-06-28,Put,187.5,0.01,213,1.137333333
AAPL,2024-06-28,Put,190,0.01,213,1.122368421
AAPL,2024-06-28,Put,192.5,0.02,213,1.107792208
AAPL,2024-06-28,Put,195,0.02,213,1.093589744
AAPL,2024-06-28,Put,197.5,0.02,213,1.079746835
